# body	ntrans	tcalc	ttv	noise	sigma
#		JED-2433500	min	min	min
Venus	0	3.768960791	-0.6929	-3.3	1.5
Venus	1	228.4697448	0.1109	1.3	1.5
Venus	2	453.1705288	3.149	-0.011	1.5
Venus	3	677.8713128	0.2243	0.27	1.5
Venus	4	902.5720968	-2.013	-3.3	1.5
Venus	5	1127.272881	3.739	-0.92	1.5
Venus	6	1351.973665	4.068	-0.87	1.5
Venus	7	1576.674449	2.079	-2.3	1.5
Venus	8	1801.375233	-1.919	-2.0	1.5
Venus	9	2026.076017	-3.017	-1.5	1.5
Venus	10	2250.776801	3.256	1.0	1.5
Venus	11	2475.477585	1.715	-0.065	1.5
Venus	12	2700.178369	-1.774	-0.06	1.5
Venus	13	2924.879153	-1.828	-0.66	1.5
Venus	14	3149.579937	-0.8275	-0.14	1.5
Venus	15	3374.280721	2.503	1.8	1.5
Venus	16	3598.981505	0.1342	-0.35	1.5
Venus	17	3823.682289	-1.911	-1.8	1.5
Venus	18	4048.383073	3.964	-0.36	1.5
Venus	19	4273.083857	4.708	-0.57	1.5
Venus	20	4497.784641	2.891	-3.0	1.5
Venus	21	4722.485425	-0.9183	-2.4	1.5
Venus	22	4947.186209	-2.015	-0.85	1.5
Venus	23	5171.886993	4.452	-2.6	1.5
Venus	24	5396.587777	2.887	-3.7	1.5
Venus	25	5621.288561	-0.4891	-0.4	1.5
Venus	26	5845.989345	-1.091	1.0	1.5
Venus	27	6070.690129	-0.4731	-0.25	1.5
Venus	28	6295.390913	2.68	2.4	1.5
Venus	29	6520.091697	-0.3182	2.6	1.5
Venus	30	6744.792481	-2.825	1.4	1.5
Venus	31	6969.493265	2.417	1.7	1.5
Venus	32	7194.194049	2.954	-3.3	1.5
Venus	33	7418.894833	1.091	-0.5	1.5
Venus	34	7643.595617	-2.412	-0.4	1.5
Venus	35	7868.296401	-3.409	1.8	1.5
Venus	36	8092.997185	3.511	2.0	1.5
Venus	37	8317.697969	2.462	0.9	1.5
Venus	38	8542.398752	-0.7533	-1.5	1.5
Venus	39	8767.099536	-1.201	-1.7	1.5
Venus	40	8991.80032	-0.5641	0.39	1.5
Venus	41	9216.501104	2.856	-3.4	1.5
Venus	42	9441.201888	-0.1329	-4.6	1.5
Venus	43	9665.902672	-2.474	-1.9	1.5
Venus	44	9890.603456	2.521	4.2	1.5
Venus	45	10115.30424	3.134	0.85	1.5
Venus	46	10340.00502	1.3	-0.69	1.5
Venus	47	10564.70581	-2.62	-1.2	1.5
Venus	48	10789.40659	-3.926	1.6	1.5
Earth	0	124.4089718	4.379	0.074	1.5
Earth	1	489.6654181	-1.229	-1.3	1.5
Earth	2	854.9218643	4.276	-1.1	1.5
Earth	3	1220.178311	-3.321	2.1	1.5
Earth	4	1585.434757	0.6658	-2.9	1.5
Earth	5	1950.691203	4.55	-0.96	1.5
Earth	6	2315.947649	-6.441	-0.6	1.5
Earth	7	2681.204095	-2.649	0.32	1.5
Earth	8	3046.460542	-1.861	3.4	1.5
Earth	9	3411.716988	-5.152	-1.3	1.5
Earth	10	3776.973434	3.828	-0.93	1.5
Earth	11	4142.22988	-0.6714	-0.59	1.5
Earth	12	4507.486327	0.5702	1.4	1.5
Earth	13	4872.742773	5.689	0.21	1.5
Earth	14	5237.999219	-4.027	1.8	1.5
Earth	15	5603.255665	0.9011	0.036	1.5
Earth	16	5968.512112	3.876	-1.2	1.5
Earth	17	6333.768558	-3.545	1.5	1.5
Earth	18	6699.025004	0.5182	0.22	1.5
Earth	19	7064.28145	-5.249	2.7	1.5
Earth	20	7429.537897	-5.365	1.3	1.5
Earth	21	7794.794343	5.102	-1.5	1.5
Earth	22	8160.050789	-1.306	1.9	1.5
Earth	23	8525.307235	2.908	0.66	1.5
Earth	24	8890.563681	6.48	-0.76	1.5
Earth	25	9255.820128	-2.619	-2.5	1.5
Earth	26	9621.076574	1.942	0.98	1.5
Earth	27	9986.33302	-1.3	-0.79	1.5
Earth	28	10351.58947	-2.764	1.4	1.5
Earth	29	10716.84591	3.606	0.13	1.5
Earth	30	11082.10236	-5.811	0.35	1.5
