mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,lprob
2.4703278455129873e-6,224.70077157166884,3503.7656957768672,0.0055988350672470715,-0.005899609692938947,3.102510453418372e-6,365.25645686175943,3624.402241431246,0.017392194192648678,-0.0008522073221766167,2.310868750968076e-7,657.4500000000002,609.6571262361274,0.16112541149339343,0.11990859164603185,0.0008895749041582578,4257.7911526920425,570.8932613642289,0.030580387651008265,-0.03010430888905813,-174.3178121674103
2.458834207699538e-6,224.70077228643473,3503.7656717225304,0.006417453615998287,-0.005421235625588421,3.1108615564371258e-6,365.2564575246552,3624.402229627086,0.018222897255249847,-0.0006093677417438178,2.3985552552706016e-7,658.5741784420212,592.0773326450309,0.15400266005542598,0.10374199452424501,0.0008702471713851332,4260.356663259905,563.1596158184628,0.03000030723943465,-0.030357289557178185,-174.49560186166624
2.451531202243541e-6,224.70077299446967,3503.765645563267,0.007370234281424647,-0.004925104734236157,3.1199325488863733e-6,365.2564579305337,3624.4022219664726,0.019144767690362063,-0.00035113963071375215,2.5321782115558235e-7,659.7002791247747,574.1053157688029,0.14240630376993882,0.0793035899534703,0.0008519814067117047,4263.267711865402,556.0299650191145,0.02952856559878905,-0.030226728606878465,-174.95645541073435
2.4518077418058252e-6,224.70077370068714,3503.7656183988856,0.008456210783894564,-0.004419644187845139,3.1296227276564616e-6,365.25645821881375,3624.402216033465,0.020149673145791126,-7.85546642450963e-5,2.692193023797178e-7,660.8283053351137,556.6196711937259,0.1281233193787015,0.05886671737969818,0.0008339675546289848,4265.648826509963,551.5290516911377,0.02915795103097557,-0.029757869385971417,-175.53558358242705
2.4591055207307336e-6,224.700774491864,3503.7655885990175,0.009715697163647612,-0.003945298797087789,3.1402240181537895e-6,365.25645848896795,3624.4022101426176,0.021275078397733672,0.0001744235530900233,2.857700012279291e-7,661.9582603655115,539.5006856566513,0.11541092959180206,0.044321217218246264,0.0008151566479971563,4267.074378363912,550.525025758279,0.028852963965335435,-0.029073086762386017,-176.14173675754554
2.4708463034800407e-6,224.7007754846787,3503.765553456082,0.011199917608266632,-0.0035446734304322852,3.1521064643131875e-6,365.25645873611427,3624.4022043586183,0.02256502452807684,0.0003690641727155738,3.0008578314350807e-7,663.0901475140713,522.6084190587275,0.10739844295133924,0.03292446938099951,0.0007952778627328893,4267.279262865306,553.5838738469805,0.02854008442155403,-0.028236446294306796,-176.75172921831282
2.4833896051850993e-6,224.70077678721927,3503.7655103275138,0.01292132411315835,-0.003243960996988762,3.1653770412412395e-6,365.25645888350164,3624.4021998861776,0.024028988865503965,0.0004818058327917303,3.0898298011076837e-7,664.2239700845358,506.0180096671106,0.10532145086823606,0.02204702024733094,0.0007751004305487987,4266.172659331969,560.9594157239961,0.028139974141681474,-0.027242499428871525,-177.3778544900439
2.366461249826933e-6,224.700788618345,3503.765210592452,0.008309529162367487,-0.010270807613098542,3.133915258785675e-6,365.2564555402845,3624.402237003906,0.019787271530492912,-0.005230633964534637,4.6153462997595145e-9,665.3597313862961,3.3985896318459745,-12.388214277990178,-1.716515913648919,0.0009001470124631935,4199.421433069489,770.9376412664022,0.02490441078411911,-0.013568734063455368,-177.85034167801848
2.314965615686879e-6,224.7007916174488,3503.765112464225,0.008173573215916385,-0.010459993774009775,3.1343103399425576e-6,365.256454695312,3624.4022467207587,0.0197123841405407,-0.005344260182432868,8.884854082676459e-10,666.4974347344037,-5116.1775019131965,-63.550230495791446,-25.734374195103246,0.0009406075051466702,4199.498053371845,774.2097383035983,0.02843097477229083,-0.010828972407707265,-178.09267992770947
2.2715053066714436e-6,224.70079399323154,3503.7650325304594,0.008574043924657103,-0.010154314061326662,3.1385665865430744e-6,365.2564542380394,3624.402250287824,0.02011621450708422,-0.005106078963590834,1.059152234644965e-9,667.6370834495771,-4829.392183248664,-53.167377148524956,-24.259186687006643,0.0009676514413463706,4205.721026321341,757.7928031363163,0.031536397742934756,-0.009737769220072197,-178.77626598265604
2.2419462329828526e-6,224.70079544720224,3503.7649793610613,0.00901632124609351,-0.009842200804589637,3.142723635103695e-6,365.2564539007208,3624.402251153231,0.020565865855970013,-0.004876256579384615,1.5576682549984443e-9,668.7786808582133,-3876.2220860641787,-33.80414653311599,-19.647376977905022,0.0009808035858007583,4215.959029706498,728.9017011919999,0.032948911421831734,-0.009765635644716778,-179.81063193814015
2.229334742929989e-6,224.70079553844286,3503.7649693998615,0.008934908939026457,-0.00970737856045289,3.14250565269954e-6,365.25645351615543,3624.4022525950363,0.020592683084387532,-0.004782101064189815,2.4206413244240578e-9,669.922230292397,-3596.640926490613,-15.292952150650141,-18.16703116411921,0.0009809136414779087,4229.541976423919,687.2032031497467,0.03169488012387161,-0.011404936181975068,-181.06339453540488
2.221600979871471e-6,224.70079410376627,3503.7650003604786,0.006327866355145263,-0.0100170067474736,3.1242805489754762e-6,365.2564531937757,3624.4022554322883,0.0185779192837435,-0.004988638215886934,1.6891030401319208e-9,671.0677350899107,-5806.5043458279115,11.911079727329941,-28.22058625194158,0.000984886854184276,4242.005471393356,638.5692971581126,0.027056840198587197,-0.016214582724002308,-182.20403212821248
2.218248866367873e-6,224.70079147283667,3503.7649710443275,0.001248234161317012,-0.011346768270152052,3.089589159286058e-6,365.2564548668026,3624.402232696121,0.014552994565988403,-0.005928427215018461,6.089487911067958e-9,672.215198594244,799.1964834960796,6.713380207731976,3.02985567393461,0.0010060609729025847,4238.698399872087,636.48540798584,0.02430006305472666,-0.022620596556721315,-182.75843765659698
2.4082809616525023e-6,224.70076896989926,3503.766593734688,-0.0054358157887680145,-0.009704737305087623,3.052347311385438e-6,365.25645972651887,3624.4021614777557,0.009641688946932415,-0.0044332649778939396,3.2021008491775185e-7,673.3646241546039,522.3142126858496,0.03858222840034478,-0.003236475110169517,0.0011178397192939148,4217.95016041532,710.5125898905155,0.02326033965523341,-0.023293053218185616,-182.60876889806113
2.3594809651952694e-6,224.70076973682222,3503.7622562253127,-0.008627149668165402,-0.009228673303074046,3.0294524982995475e-6,365.2564625106926,3624.402122346938,0.0070129438983519456,-0.0036846579181262647,4.4933588246445984e-7,674.5160151259237,514.5202215559857,0.0569213226647166,0.0045279034158724665,0.0012881197765271639,4228.751926684423,692.9629145594553,0.02546586923479638,-0.023328980083814736,-180.77615509283856
2.3604730506522848e-6,224.70076871578195,3503.7644180309344,-0.00985292025023333,-0.008828185680453477,3.0179383970484357e-6,365.2564650254802,3624.402084361626,0.006001718848335248,-0.0030611918026157907,5.229233056672413e-7,675.6693748688738,502.70835681092643,0.07317545984105922,-0.0019879080922675214,0.001416931950159481,4250.6901883884175,644.0166885412478,0.02701603314431584,-0.02441205724652049,-178.35234360379775
2.4042354677306928e-6,224.70076618158907,3503.764911049968,-0.009901722926134412,-0.008468231890339658,3.0139666219264387e-6,365.25646688954515,3624.402054095829,0.005986456616966976,-0.002575513673593131,5.549292865838748e-7,676.8247067498706,489.16647004366206,0.08382854154634461,-0.020456619055022957,0.001488296132066161,4277.324738034696,578.2039227084143,0.027597109609909402,-0.026363720293860485,-175.78689768879804
2.4565839578012907e-6,224.70076385667159,3503.765214730375,-0.00927174120956698,-0.008001167905248279,3.0151365926528404e-6,365.25646785933355,3624.402035841904,0.006516183317956653,-0.00210632597348614,5.586405284699691e-7,677.9820141410875,475.2349476995908,0.08672017297825192,-0.04249927611253241,0.0015066517273076084,4303.670248193831,509.8497151704321,0.02754785957182619,-0.02872261365601776,-173.46413543129947
