#body	ntrans	tt	tt0	ttv	noise	sigtt
1.0	0.0	2.433503764225736e6	2.433503765392407e6	-0.001166671048849821	-0.00019306488755082852	0.00034722222222222224
1.0	1.0	2.4337284656066787e6	2.4337284661728144e6	-0.0005661356262862682	-0.0001542997767742	0.00034722222222222224
1.0	2.0	2.4339531686638654e6	2.433953166953222e6	0.0017106435261666775	9.428936808747863e-6	0.00034722222222222224
1.0	3.0	2.4341778673032173e6	2.434177867733629e6	-0.000430411659181118	-0.00010398753137462172	0.00034722222222222224
1.0	4.0	2.4344025672549894e6	2.4344025685140365e6	-0.0012590470723807812	0.0006173128812699045	0.00034722222222222224
1.0	5.0	2.434627271018808e6	2.434627269294444e6	0.0017243637703359127	-0.000397535254072507	0.00034722222222222224
1.0	6.0	2.4348519722662587e6	2.4348519700748515e6	0.0021914071403443813	-0.0001627103757526648	0.00034722222222222224
1.0	7.0	2.4350766718857563e6	2.435076670855259e6	0.0010304972529411316	5.421648008359038e-5	0.00034722222222222224
1.0	8.0	2.435301368921627e6	2.4353013716356666e6	-0.002714039757847786	-0.0009173579889155542	0.00034722222222222224
1.0	9.0	2.435526070209079e6	2.4355260724160736e6	-0.0022069946862757206	0.000348371493562321	0.00034722222222222224
1.0	10.0	2.4357507753762687e6	2.435750773196481e6	0.0021797874942421913	0.00037582680750292683	0.00034722222222222224
1.0	11.0	2.4359754747790117e6	2.4359754739768887e6	0.000802122987806797	6.494024552209374e-5	0.00034722222222222224
1.0	12.0	2.436200173255562e6	2.436200174757296e6	-0.0015017343685030937	0.0001799127735684506	0.00034722222222222224
1.0	13.0	2.436424874340485e6	2.4364248755377037e6	-0.001197218894958496	0.0005178399711945509	0.00034722222222222224
1.0	14.0	2.4366495754288817e6	2.436649576318111e6	-0.0008892291225492954	0.00012762595353292373	0.00034722222222222224
1.0	15.0	2.4368742780898605e6	2.4368742770985183e6	0.0009913421235978603	-0.00030771017223893627	0.00034722222222222224
1.0	16.0	2.4370989777743034e6	2.437098977878926e6	-0.00010462244972586632	0.00023769607783502092	0.00034722222222222224
1.0	17.0	2.4373236763480417e6	2.4373236786593334e6	-0.002311291638761759	-0.0005522847135147761	0.00034722222222222224
1.0	18.0	2.4375483819074603e6	2.437548379439741e6	0.0024677193723618984	0.00014258798000150452	0.00034722222222222224
1.0	19.0	2.4377730827678903e6	2.4377730802201484e6	0.0025477418676018715	-0.00029734369116399446	0.00034722222222222224
1.0	20.0	2.437997782222026e6	2.4379977810005555e6	0.0012214705348014832	-0.0003649262883198899	0.00034722222222222224
1.0	21.0	2.438222480899981e6	2.438222481780963e6	-0.0008809817954897881	0.00017433314500817326	0.00034722222222222224
1.0	22.0	2.4384471806730977e6	2.4384471825613705e6	-0.0018882728181779385	-7.508611365618497e-5	0.00034722222222222224
1.0	23.0	2.43867188577796e6	2.438671883341778e6	0.0024361819960176945	-0.00024528620562549823	0.00034722222222222224
1.0	24.0	2.4388965844509806e6	2.4388965841221856e6	0.00032879505306482315	-0.001269130595516376	0.00034722222222222224
1.0	25.0	2.439121284218191e6	2.4391212849025927e6	-0.000684401486068964	5.8451828448235285e-5	0.00034722222222222224
1.0	26.0	2.439345984624862e6	2.439345985683e6	-0.0010581379756331444	9.870106493649603e-5	0.00034722222222222224
1.0	27.0	2.4395706859370153e6	2.4395706864634077e6	-0.0005263923667371273	0.00019785716976047934	0.00034722222222222224
1.0	28.0	2.4397953882185332e6	2.439795387243815e6	0.000974718015640974	-0.0004937704547130323	0.00034722222222222224
1.0	29.0	2.4400200872848993e6	2.4400200880242228e6	-0.000739323440939188	-0.0001293058596458098	0.00034722222222222224
1.0	30.0	2.4402447865858674e6	2.4402447888046303e6	-0.0022187628783285618	0.000128128571024942	0.00034722222222222224
1.0	31.0	2.4404694908795743e6	2.4404694895850373e6	0.0012945369817316532	-2.64339586087277e-6	0.00034722222222222224
1.0	32.0	2.4406941922342046e6	2.440694190365445e6	0.001868759747594595	0.00019537111538932603	0.00034722222222222224
1.0	33.0	2.440918891566026e6	2.4409188911458524e6	0.00042017363011837006	3.710732998390657e-5	0.00034722222222222224
1.0	34.0	2.4411435900780004e6	2.44114359192626e6	-0.001848259475082159	0.00019772864407275958	0.00034722222222222224
1.0	35.0	2.441368290208688e6	2.4413682927066674e6	-0.0024979794397950172	0.000236487822029003	0.00034722222222222224
1.0	36.0	2.441592995096383e6	2.4415929934870745e6	0.0016093086451292038	-0.00046497400047823453	0.00034722222222222224
1.0	37.0	2.441817695534103e6	2.441817694267482e6	0.0012666210532188416	-8.273740215239105e-5	0.00034722222222222224
1.0	38.0	2.4420423945221417e6	2.4420423950478896e6	-0.0005257478915154934	0.00035394402386726236	0.00034722222222222224
