## 20.0 year long observations starting at 2.445005e6 JED
## body_num	TT
1.0	2.4451881196831632e6
1.0	2.445412820912534e6
1.0	2.445637524511117e6
1.0	2.4458622236094633e6
1.0	2.446086923076626e6
1.0	2.446311627664524e6
1.0	2.4465363290415625e6
1.0	2.4467610288782488e6
1.0	2.446985726921135e6
1.0	2.4472104268492777e6
1.0	2.447435132121129e6
1.0	2.4476598321259003e6
1.0	2.447884530408954e6
1.0	2.4481092306122193e6
1.0	2.4483339317535977e6
1.0	2.448558635107033e6
1.0	2.448783334022104e6
1.0	2.449008032952039e6
1.0	2.4492327371332827e6
1.0	2.449457438327932e6
1.0	2.4496821383035304e6
1.0	2.449906836535978e6
1.0	2.450131536806264e6
1.0	2.4503562424627403e6
1.0	2.450580942693745e6
1.0	2.4508056412666687e6
1.0	2.4510303412094796e6
1.0	2.4512550423061787e6
1.0	2.4514797456594566e6
1.0	2.4517044445788646e6
1.0	2.4519291435101037e6
1.0	2.4521538477004906e6
2.0	2.445312476506799e6
2.0	2.4456777299249074e6
2.0	2.4460429913212946e6
2.0	2.446408247297054e6
2.0	2.4467735022077207e6
2.0	2.4471387618731973e6
2.0	2.447504013616921e6
2.0	2.44786927032028e6
2.0	2.448234530462079e6
2.0	2.4485997813577657e6
2.0	2.4489650379784964e6
2.0	2.449330293427256e6
2.0	2.449695548585215e6
2.0	2.450060811288864e6
2.0	2.450426066610722e6
2.0	2.4507913232781086e6
2.0	2.4511565837050485e6
2.0	2.4515218352855877e6
2.0	2.4518870921645267e6
2.0	2.452252349814705e6
