mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
2.6134832329522486e-6,224.7007794857728,3503.7695676422745,-0.2450787894735246,-0.019649146134040448,2.0921631718345595e-6,365.2564186727339,3624.409022207138,-0.18391866563240344,-0.015754182425328486,3.763290564592577e-5,1826.2500000000005,1888.0768133062606,0.0023623008228928063,-0.37280589823876853,-195.14149840480096
2.5468837054973763e-6,224.7007790292574,3503.769577078653,-0.23881946264273624,-0.03177004132873906,2.116116305474486e-6,365.25641872758837,3624.4090250684303,-0.17942857433624637,-0.025065964742218613,3.6162287161261137e-5,1835.3218903666532,1361.024126204858,0.22962267875045883,0.3711157204901405,-194.88194945286955
2.4518232801412988e-6,224.70077911810176,3503.769575321812,-0.24163804335770625,-0.025465317389688817,2.1210031464717557e-6,365.2564179275393,3624.409022712127,-0.18196096445288676,-0.02004090814424528,3.7155055819433e-5,1844.438845316372,1326.9258976171384,0.21518063135461918,0.36257035022249706,-194.75202027459355
2.3238892150190822e-6,224.7007787852272,3503.7695792237887,-0.25177321896114896,-0.03147795379686248,2.1214772851508235e-6,365.2564171967689,3624.40905163041,-0.19015777512551002,-0.024562362618564815,4.587136443151673e-5,1853.6010887073126,-15.585366798869805,-0.015287326201503734,-0.3131872672500521,-194.72175769528138
2.285696024519018e-6,224.70077862213256,3503.7695831189335,-0.2490010947493954,-0.03238555982450633,2.1303378151130707e-6,365.2564163965704,3624.409063036397,-0.18810700985158624,-0.025158512242339823,4.518300493082248e-5,1862.8088455096456,1822.9715773302958,-0.03566370686703171,-0.3037807537188647,-194.70471909134272
2.2750383684627867e-6,224.70077851929028,3503.7695861843613,-0.24373444772037095,-0.032396334418125304,2.143481062508889e-6,365.256415706762,3624.4090728380143,-0.18399118815557175,-0.0250841335382218,4.4294495591820484e-5,1872.0623418110797,1810.2625354993104,-0.054709266294744076,-0.2927679525939315,-194.7116604405288
2.282175426055249e-6,224.70077846645387,3503.7695884155883,-0.23699039468042227,-0.03193018619932927,2.160235445913775e-6,365.2564151992182,3624.40908054412,-0.17864485021912588,-0.02466203115503015,4.366332170596469e-5,1881.361804822414,1799.6265170120228,-0.0706895088203056,-0.27977966412799365,-194.720351839433
2.2977586641390297e-6,224.70077845224668,3503.769589911811,-0.22986750916314216,-0.031218538415626856,2.1787412620867984e-6,365.2564148711697,3624.409086288338,-0.17296538136862644,-0.024066185222231258,4.35097735756696e-5,1890.7074628831158,1790.6567193659869,-0.08294495140576044,-0.2651272552848401,-194.71786743353994
2.315031487055966e-6,224.70077846915265,3503.769590771056,-0.22317758466577148,-0.030353613631102255,2.197226710473939e-6,365.25641466500707,3624.4090906329848,-0.16761341668661375,-0.023362411659336023,4.393460718592012e-5,1900.09954546693,1782.899533926312,-0.09126317871419208,-0.2493202116689774,-194.69816510899807
2.329361982480791e-6,224.70077851228285,3503.7695910799994,-0.21748273738997187,-0.029358479189116285,2.2142211061469454e-6,365.25641448914945,3624.4090943729293,-0.16304394635034933,-0.02256316195653731,4.496179296658235e-5,1909.5382831875065,1775.5957598209247,-0.09563899128800651,-0.23317004370662212,-194.65953666860196
2.3378555968832453e-6,224.70077857603962,3503.769590960562,-0.2130995936175221,-0.02827605786684046,2.228846676168741e-6,365.256414233066,3624.4090984058394,-0.1595117116551903,-0.021694822792441816,4.654131690062053e-5,1919.0239078040722,1767.3989607132578,-0.0962421491530992,-0.21787321111654426,-194.6035284560707
2.338998426551712e-6,224.7007786505394,3503.769590623158,-0.21011359607282093,-0.02719138984632392,2.2409464721453725e-6,365.25641379171344,3624.4091035721885,-0.15708618908850752,-0.02081580285168867,4.852843692872567e-5,1928.556652227116,1756.4989533578903,-0.09357685166809461,-0.20477910313812858,-194.53502875851575
2.3330958963151036e-6,224.70077872163822,3503.7695903689123,-0.20833526862967844,-0.02622753753311665,2.2511646624731256e-6,365.2564130977872,3624.4091104501313,-0.15561697051123227,-0.020014792765477945,5.071223123964279e-5,1938.1367505241087,1741.4043042413634,-0.08855867632405695,-0.19473847903343613,-194.4620999673836
2.3225678540516344e-6,224.7007787749183,3503.7695904981347,-0.20739237343610042,-0.025501239962678744,2.2602865771484613e-6,365.25641214832655,3624.4091191433517,-0.1548063765678274,-0.019380150168685956,5.285285302429775e-5,1947.7644379252504,1721.673610412671,-0.08246526299573875,-0.1878101574393352,-194.39447643197153
2.3107397826300873e-6,224.70077879821338,3503.769591239187,-0.20694455620301033,-0.02510141926049065,2.26851877951945e-6,365.25641099988917,3624.409129268812,-0.15438075492086015,-0.018983344931046527,5.4729287431107036e-5,1957.4399508292463,1697.7637712586304,-0.07659700614112389,-0.18355291650199873,-194.34123853053407
2.3008648224078865e-6,224.7007787832622,3503.7695927038667,-0.20674601014767557,-0.025075528068833047,2.2755525525372727e-6,365.25640974614277,3624.409140125661,-0.15414111935232178,-0.018867368860650862,5.617468026301767e-5,1967.1635268091115,1670.4599351831193,-0.07197945157071339,-0.18150380779947067,-194.30873924048097
2.2952008450513425e-6,224.70077872602354,3503.769594888985,-0.20663312547333204,-0.025438036411162136,2.2810531470839084e-6,365.25640847685224,3624.409151038363,-0.15395457377917174,-0.01905130930878602,5.712530053777582e-5,1976.935404618004,-336.48609711511904,-0.06902369151457051,-0.18137601468263534,-194.2995937940231
2.2955449554929037e-6,224.70077863149632,3503.7695976270224,-0.20643156977701269,-0.026108231210789735,2.2850758949368434e-6,365.2564072396882,3624.4091617144677,-0.15367863574041712,-0.019481285979926828,5.7644972655469e-5,1986.7558241950874,-378.20199901598437,-0.06758812132650241,-0.1828082060390177,-194.31345221989184
2.3040716161162155e-6,224.70077851390656,3503.769600611175,-0.20588431327913215,-0.026902305757318196,2.288162218526532e-6,365.2564060293814,3624.4091723281995,-0.15310362759052754,-0.02002349154734898,5.787764152446912e-5,1996.6250266714221,1575.9670453740837,-0.06722342471846039,-0.18515557151960443,-194.34932181651047
2.3234730522777073e-6,224.7007783934252,3503.769603462377,-0.20468521435615797,-0.027563734129681737,2.2910360285037407e-6,365.2564048122691,3624.4091832761,-0.15198115365253825,-0.020486496609186878,5.795440525767337e-5,2006.5432543758866,1544.240504710624,-0.06752439321958839,-0.18745595797148035,-194.40762081360955
2.3561780222683694e-6,224.70077828975994,3503.769605834652,-0.2025530324842272,-0.027833850519697476,2.294383801672605e-6,365.2564035642525,3624.409194824742,-0.15008621986913806,-0.020674251162691438,5.794575649447287e-5,2016.5107508411263,-501.49844244690695,-0.06831340536020927,-0.18859880884348235,-194.49001634617528
2.4033461938370385e-6,224.7007782176875,3503.769607478958,-0.19929754326500768,-0.027511922376381056,2.298787118186873e-6,365.2564022947427,3624.409206885829,-0.14727196047818586,-0.020431722687699366,5.78923692749329e-5,2026.5277608095355,3516.315209995871,-0.06949303076603729,-0.1874833432296918,-194.59697528837756
2.4646247630116965e-6,224.70077818606586,3503.7696082418224,-0.19479235105418732,-0.026491190551076658,2.3048964929217977e-6,365.2564010524996,3624.409218967863,-0.14344738929521772,-0.019672858950277164,5.787257420294061e-5,2036.5945302392663,1469.881945628787,-0.07077722659366484,-0.18319395152028764,-194.7247240550454
2.5385555660861196e-6,224.70077819843678,3503.7696080412097,-0.1888976620327052,-0.024749871595576088,2.313706953480666e-6,365.25639991490834,3624.4092302994804,-0.1385137806313065,-0.018374737898514053,5.807763603305212e-5,2046.7113063102615,1456.460863619474,-0.07138837004859282,-0.17508089044258165,-194.86344882980327
2.622272372501161e-6,224.700778247647,3503.7696069353906,-0.1815285456461595,-0.022409656788754007,2.326308860041805e-6,365.2563989705877,3624.4092400060813,-0.1324170041747449,-0.016623514745339758,5.881825128587125e-5,2056.8783374303353,-606.9099750666115,-0.0700607560960828,-0.163313221154744,-194.99789161393164
2.7086518495202634e-6,224.70077829880535,3503.7696054362386,-0.17306007257180098,-0.019923497616374526,2.3429021057534565e-6,365.25639826684437,3624.409247577681,-0.12547000855995458,-0.014759377661612318,6.035647802091759e-5,2067.095873241265,-619.3755162980037,-0.06568524448032449,-0.15025009892884278,-195.11178563533383
