mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,lprob
4.8192506653017615e-9,224.70420672436822,3505.0637876876917,3.125020994368302,10.457515542130311,6.962116868792338e-9,365.2775364650868,3629.7515093687603,0.019872316529050586,-0.010763765359001547,7.803564686341526e-9,547.8749999999998,472.9872504278728,0.013258943007437005,0.02071839951785977,-1.5476154354659284,4.258514741895083e6,-598944.730909917,1221.5478843662643,24.75898525436878,-125.25984801965365
2.509855386239469e-6,224.70078872988407,3503.765308054915,0.01648154974642943,-0.0013132586113556535,3.176906407378901e-6,365.25660871944854,3624.402150916464,0.025327472210298643,0.0010653030434405817,3.240961177977847e-8,551.1997539631855,402.6678058659343,0.04224950314521761,0.0027341589414041642,0.0006908885142815408,4285.411234198578,4704.650249426941,0.006120910153852185,-0.06715705828946776,-10.383558255984559
2.5019632576285365e-6,224.70078873040066,3503.7653080876707,0.0163230870032951,-0.0011686297879534915,3.1768123073226036e-6,365.25649086880526,3624.402191467755,0.02523175996667004,0.0011702104170036973,2.6925607678541474e-8,554.544684041207,346.9645796974545,0.03714743899228846,0.017111395135348463,0.0006965329988416572,4284.4601806824485,4706.431206844345,0.006470122957572376,-0.06604813932293908,-10.323534507870816
2.4716837495478328e-6,224.70078856466904,3503.7653113681113,0.01506908552511402,-0.001224707051646963,3.174092319199013e-6,365.2564736021928,3624.4021591882906,0.024430236493911798,0.0010826062270485914,5.5801134947226556e-8,557.9099126718797,188.39392317188032,0.02957259804430078,-0.011864285678605516,0.0007309912062832442,4297.443890094299,4706.98379638644,0.008830925392386927,-0.06137205435548057,-9.767017906771116
2.4515958506732734e-6,224.70078863790002,3503.7653102046934,0.013244947893965896,-0.0015215805932589103,3.1629176937403677e-6,365.25646725693406,3624.4021341025345,0.022996228963660468,0.0008851931366390644,5.444890251015403e-8,561.2955630360256,130.7994457451993,0.03933134801948357,-0.015859186736746387,0.0007589014997859877,4295.257280935368,4717.156615854495,0.00973914999987703,-0.05768693347156718,-9.129462145464593
2.452342363047244e-6,224.7007889949247,3503.765303378463,0.010149758469466249,-0.00015378832582504218,3.1450101718747717e-6,365.2564635900614,3624.402125700388,0.020648479020654417,0.0021164729395318238,1.2265417155569212e-10,564.7017590619851,412.91048360708453,-15.11016385034389,-0.6416587813551877,0.0007974945106832165,4282.5690793552285,4723.6803172233185,0.010325387563019338,-0.05364223988403553,-7.90618583324395
2.370481528734889e-6,224.70078915125302,3503.765299926404,0.003898706466257878,0.0007241264447162103,3.107720079239925e-6,365.2564608798928,3624.402131680636,0.01561724733716586,0.00299222453957558,5.6290851062251364e-11,568.1286254301516,511.1793220295354,-65.75263082188977,0.12498973571625965,0.0009053874836124339,4256.197770473652,4746.97153536893,0.01625877303411891,-0.043603637773224534,-6.888197125462081
2.2342320222216084e-6,224.70078979641332,3503.7652886130413,-0.0037703289426295108,-0.00021080037532807038,3.0482787592000957e-6,365.25646082976937,3624.4021420751005,0.00867362453248647,0.002598094961263188,8.504131024390048e-8,571.5762875775364,539.9971948482154,0.11110788795302531,-0.005363540444646851,0.0010611621842941522,4198.912721233526,4817.508402981708,0.020519433099598996,-0.03242510758559411,-7.764616669071471
2.3087648285918644e-6,224.7007901832859,3503.7652824629595,0.005700305487751881,-0.003703414829720009,3.100696998858876e-6,365.25646010669084,3624.4021890512845,0.015715173443658595,-0.0003038126898602208,8.916900452748471e-8,575.0448717023575,555.8243299722953,-0.008492032886400727,-0.03972219054573721,0.0007238157077227415,4167.248144187093,4808.415292177871,-0.007350597118912444,-0.05831284379289509,-13.223527397340074
2.4903749513881878e-6,224.70078965265714,3503.7652907795414,0.02512938272477371,-0.005532450265881375,3.2315310218004924e-6,365.2564614363274,3624.4021724634135,0.03159101458583246,-0.0017037657143224097,1.4732696313788183e-7,578.5345047686627,532.4238366651892,0.04041666906354812,-0.0017832741550583393,0.0005301501805239369,4193.118135037159,4752.2850109882165,-0.030347248644918647,-0.08640451785710732,-14.507494263403403
2.6543987770164194e-6,224.70078979548995,3503.765281205169,0.025348420934638117,0.003656330593290978,3.2507484415228585e-6,365.25646239189604,3624.4021430940757,0.03271172016902112,0.005685197623711813,1.630956068789986e-7,582.0453145109748,214.63810248068236,0.03185753929249097,0.001148420061183728,0.0005109268917426852,4186.855414183311,4694.29500827491,-0.021788993904423362,-0.10103853209826566,-13.957666365474687
2.435628583515996e-6,224.7007895933931,3503.7652836173747,0.02280449381419997,-0.006584904050219947,3.248877944015618e-6,365.25646366885377,3624.40213630581,0.030856871089129486,-0.0025072605864850444,1.9560042402102596e-7,585.5774294389681,482.36894619477755,0.06633810583656924,-0.00692368981200064,0.0005151322653987627,4166.728631111303,4773.055703679599,-0.03318251154435213,-0.09129800722418921,-12.916458045259462
2.354484146535445e-6,224.7007895930327,3503.765281623811,0.013319420770471728,-0.005936524364615434,3.1866638311819267e-6,365.2564613058927,3624.40215937998,0.02346493455132892,-0.0020101463230122983,2.03376915117769e-7,589.1309788421701,448.6743655597896,0.06422677195727208,-0.012880028195045806,0.0005774726257788852,4145.182262436456,4795.613742430035,-0.01793998903973728,-0.08319734974335931,-11.630332217583817
2.350737744421576e-6,224.7007890984222,3503.7652937749203,0.008834431197956457,-0.0042972830766158975,3.1411153736261607e-6,365.25645792878964,3624.40220073329,0.019476938138392443,-0.0005153015950680945,1.5078771480380863e-7,592.7060927946975,392.90309331533575,0.07041883245778072,-0.017778511601398712,0.0006540391336293122,4166.683603680524,4785.302528311944,-0.003114578841411788,-0.07019372076732806,-11.767020133674231
2.4148943796327476e-6,224.70078831139017,3503.7653112659686,0.009358738715289328,-0.0039050838003298464,3.141867648439855e-6,365.2564545203284,3624.402225187061,0.019882694870590606,-0.0005081039116375842,1.2821630723650488e-7,596.3029021600152,333.06428086139323,0.10519250249648587,-0.06166954789756679,0.0006656211231852245,4201.822683682366,4696.134761197295,0.004827122490932662,-0.07317167129012325,-9.010461732575239
2.431345154019978e-6,224.70078944148298,3503.765295811149,0.011451554937782287,0.00023358250389341492,3.143953548981806e-6,365.2564661809055,3624.4021616721616,0.021400485423430652,0.0023552351908372603,3.596141656850169e-8,599.9215385957276,501.3405663707699,0.35777672914383934,-0.25359775148408725,0.0005988448431563328,4292.258578954297,4784.393737357515,-0.027650333615694283,-0.05903082972647014,-7.781186466096855
2.4806426795076103e-6,224.70078943350762,3503.765298164153,0.01572200353617056,0.000195943606786057,3.158813766977578e-6,365.25651487133536,3624.4018806291424,0.024697633949154012,0.002512776187847736,1.404059073176493e-7,603.5621345583953,498.3878705977875,0.1088065399704828,-0.13061269136305215,0.0005472705085780041,4336.065247977576,4738.506101541803,-0.04315316914520568,-0.07019916187225189,-7.554359560279877
2.4418174142755884e-6,224.70078898482996,3503.7653019034087,0.011183752012694505,0.0008672596486776339,3.1232773456776934e-6,365.2566386419145,3624.4020477412905,0.02090954810459665,0.0027064128636655436,5.443351370638108e-7,607.2248233083873,580.0670295579055,0.039434280137477226,0.08106631014394591,0.0005959143793278001,4268.6771511377265,4654.68314500831,-0.005319330027656427,-0.08513571073003705,-9.466374517018998
2.3631075930834435e-6,224.7007895471589,3503.7652889696005,0.008591573135410615,-0.00021046792366609968,3.1187361605837376e-6,365.2565943940368,3624.402051983001,0.019201743663920565,0.0024142916099027475,6.578254472407879e-7,610.909738914756,334.3203860214056,0.0392976461737184,-0.05297260124164954,0.0006022134217182168,4279.229224320629,4722.3844312066285,-0.015764269459438096,-0.07447505813520645,-8.04463680906427
2.353324261524445e-6,224.70078982621993,3503.7652875051817,0.010790404083655803,0.0012496225818350308,3.129393636004017e-6,365.2565078135561,3624.4018794946164,0.02100921196120815,0.0035669581343511707,4.567729120673448e-7,614.6170162601466,290.7933386741753,0.049152499778815924,-0.040937130591903494,0.0005214706729398749,4337.401376944763,4708.952576342958,-0.05145686850283769,-0.0794374499678978,-4.104966439680404
2.340663063092154e-6,224.7007901772395,3503.7652822427876,0.009060918865118398,0.001509803529233849,3.1197378264513688e-6,365.2564736428733,3624.4020694108917,0.019678082793768946,0.003802293719290018,4.3621699683171884e-7,618.3467910457314,249.64717646912888,0.04671440000319203,-0.03878168821440483,0.00046483280500267654,4332.647016363712,4745.329606735021,-0.08481598833954769,-0.07863419874450349,-2.9307636510894257
2.3115338843365418e-6,224.7007902190327,3503.7652793676925,0.006488599567183517,0.0014225632989691376,3.1116944061982324e-6,365.2564596837719,3624.402176315902,0.017745436159626593,0.003887560869729386,3.422126501751654e-7,622.0991997961806,211.127751512743,0.02925198445297529,-0.06615575525522656,0.00045634806625909367,4260.9927472320605,4747.225252338782,-0.08468991263591588,-0.0856933023611883,-4.302192813184816
2.294271725786588e-6,224.7007886539501,3503.76530051082,0.007696979449140874,0.001793036991504124,3.1203611074472832e-6,365.2564633276774,3624.4021311325023,0.018865337153758596,0.004611707199685284,8.424128442067804e-8,625.874379864658,519.3474184306543,0.3577520483516883,-0.15943680865772983,0.0005998315487391144,4189.056299813273,4684.746787641253,-0.014109260445053038,-0.08168366917108909,-7.0568681748687245
2.3760478999000424e-6,224.7007900504251,3503.765276094713,0.010641648400233183,-0.0007520269494734299,3.1484424339072615e-6,365.25646159676296,3624.4021704303022,0.020924859981614006,0.0016801636195227555,2.226064497987304e-7,629.6724694378485,112.11039549713358,0.023479214398724635,-0.07877842109050553,0.0005225905576446992,4156.707755535458,4788.309191142793,-0.03809957553510969,-0.08593527089371482,-11.893079197490145
2.673308451858704e-6,224.70079000489753,3503.7652806110214,0.028952336174794226,-0.0001219884295436501,3.265523241461708e-6,365.25646149128767,3624.4021546075815,0.03519318328438141,0.0024832193995055637,6.915995776512307e-10,633.493607541015,413.8827621745071,-32.5064429594221,-0.8170557185921515,0.00046952879504995006,4181.466801318691,4710.1875009326,-0.03804214015995763,-0.104216472291224,-13.631584033125176
2.55977111297037e-6,224.70079007064837,3503.7652804195463,0.02156936450838838,-0.0016682655924398682,3.2161310837322365e-6,365.2564606751321,3624.4021698875695,0.029125119345951307,0.0009598972161370709,4.18216439032676e-8,637.3379340430907,579.9641360124631,-0.4732550948595006,0.14365452272322493,0.00055355455794165,4182.298148885195,4753.993945137557,-0.016095859522780122,-0.08266772181179614,-14.61966463983788
2.471201904390193e-6,224.70078872594314,3503.7653039210627,0.01261599736806932,9.436532712834539e-5,3.1570908718317803e-6,365.25646167753655,3624.402161369853,0.021999293828476544,0.002387366593314383,8.249172264804332e-10,641.2055896617964,411.6148107595424,20.58014435549765,0.48433522888857305,0.0006599544865952264,4167.237477288755,4767.777428622938,0.008644101531360217,-0.07315575087647273,-15.025803799104107
2.5649522025369177e-6,224.7007893153304,3503.765299022482,0.01775086203724564,0.0004903497221380075,3.18999753970283e-6,365.25646215135936,3624.402144891703,0.025944712316682595,0.0027682841926764965,4.3674099441802915e-8,645.0967159687918,251.82784691757016,0.4608777192256651,-0.17060571507814498,0.0005724113259845098,4155.6704967844225,4770.204850982865,-0.009277223155054927,-0.08384885133487285,-13.851017548904668
2.5986023840314937e-6,224.70078974487075,3503.7652955485883,0.022814695616398595,0.0013174833956692404,3.2225946248942227e-6,365.256462144377,3624.402139618649,0.03016395384785637,0.003691418750335863,4.353142401122537e-8,649.0114553948567,196.538061600441,0.48912512950565634,-0.3178931323635737,0.0005395730655322045,4158.908704048303,4758.27670219051,-0.01642396707622427,-0.0903213058479595,-12.370951049242828
2.5147978872947362e-6,224.70078933681214,3503.76529967362,0.019149190344610448,-7.307763412230078e-5,3.19460738166824e-6,365.25646221355623,3624.4021340215186,0.027421841049518465,0.0026064955096180187,1.9938514772822708e-8,652.9499512351067,-41.61935267554911,0.011292950531139925,-1.4219866928278213,0.0005871212777969201,4160.496963992204,4761.873190549524,-0.0034820772270209703,-0.08453984851187772,-10.55890283911898
2.4631973462539484e-6,224.70078956211145,3503.765281081567,0.0165727862208899,-0.0028600464947362947,3.1746198098623065e-6,365.25646072814493,3624.4021556802422,0.02542816876647487,0.00014569297056258438,1.6146760733255768e-8,656.9123476542366,-104.6788477720366,-0.5414070325372347,-1.545549579457912,0.0006296066684416604,4178.571679622769,4763.768661307092,0.0036915547945942035,-0.07853962328316001,-10.72860623193022
2.388745067349984e-6,224.7007903169451,3503.765238298867,0.012549321804267854,-0.00440222264681937,3.1462622588358906e-6,365.2564606111403,3624.402172108769,0.022078979677456194,-0.0010525916823523028,5.41412509279123e-10,660.8987896917988,9699.801206881712,15.005639529170136,44.764598247554204,0.0006844986723006644,4169.494313048046,4789.169501881906,0.006114509269634644,-0.06973317803114991,-11.332277752001986
2.3789793675716734e-6,224.700792805626,3503.7651252192654,0.013220627205027645,-0.005765414483265546,3.1530669916626184e-6,365.25646050006605,3624.4021865471423,0.02250843133608329,-0.00211034273639897,1.1680006318709153e-8,664.9094232675093,484.4986922500899,2.350596717949969,1.0433046970911275,0.0007130491786043024,4167.600358393959,4811.018002806901,0.0037411957082301504,-0.06321088145593509,-12.146686374971619
2.244356436725039e-6,224.7007931170134,3503.7651150272795,0.004785610177695403,-0.005902427783091026,3.0953972325319144e-6,365.2564594323675,3624.4021991408445,0.015360310356621587,-0.00221990816709298,3.2143593573944803e-7,668.9443951865933,554.971159127168,-0.043514430357887365,-0.008697627022424164,0.0007452073754254899,4187.99980377021,4815.373479881305,-0.002455960741567577,-0.05557269831487147,-12.077449496982773
2.450633580722543e-6,224.70077056340872,3503.7662326280642,-0.006960584206705916,0.0015072851939288729,3.0228107427594285e-6,365.2564618566383,3624.4021351666056,0.006231413401858713,0.004103344480693068,4.496032545062496e-7,673.0038531451559,501.1123014307507,0.07926536070415838,-0.048801522422435566,0.0011761925479141968,4184.828462324722,4731.649185721868,0.029545607804696037,-0.03895691885851075,-6.938100560343486
2.664775781671558e-6,224.70076322971718,3503.7653667592485,-0.004112756200868756,0.0036386554752258975,3.0426578126641598e-6,365.25646043628194,3624.402141312751,0.009416516815838633,0.005904207794639344,4.0100994750314856e-7,677.0879457355896,461.56603764005143,0.0685461840385541,-0.14393708133157693,0.0012476171528311856,4272.240656044175,4650.417342804138,0.03096350815966616,-0.041198919085134775,-0.6831287999481863
2.5991099353322868e-6,224.7007687426996,3503.765533968243,0.0002360030870505098,0.004298998426825987,3.069316164092882e-6,365.25645758631106,3624.402181577434,0.013137672184973881,0.006244140927067094,3.1626156855137654e-7,681.1968224520115,425.7762334901588,0.017619639103329584,-0.17900988605703935,0.0011408266439989871,4340.129660835823,4635.289771262099,0.026435337213420503,-0.04004424203454316,2.508880025428804
2.4695550040861766e-6,224.70077569852026,3503.7654959317547,0.002899493151134721,0.003454784730733013,3.085398089596805e-6,365.2564578854707,3624.402195181269,0.015142346122555637,0.0053584942772739366,2.513509324099415e-7,685.3306336957382,395.05304127380606,-0.033578001696233435,-0.17837633785373622,0.001039570491224301,4359.190128363015,4656.808606737052,0.02350209868861305,-0.03856956562979715,2.2397420037720672
2.3725842741990924e-6,224.70078102252793,3503.765433367901,0.003656174994533442,0.001677349017542666,3.0906021889288877e-6,365.2564625697496,3624.402166219063,0.015564054147125696,0.0038229238239467366,2.5629133359888495e-7,689.4895307807896,377.3084541066855,-0.07352049607669546,-0.1291988659827821,0.0009821355959997837,4344.658429272194,4690.91898627408,0.022123163177968613,-0.03856210458992563,0.72072755980075
2.3243874560177893e-6,224.70078470682,3503.7653807366564,0.004151195071109322,-0.00033009021667071295,3.0962638534539584e-6,365.25646912271253,3624.4021152641135,0.01579698392702093,0.0021999540559795336,3.108737568490405e-7,693.6736659394276,358.66921844149346,-0.07578249854610623,-0.0729844127057155,0.0009359766338816602,4312.590937430117,4726.051962246575,0.020831070634933682,-0.040249928363288945,-1.588860684766422
2.3332486397222797e-6,224.70078717037558,3503.765339292111,0.006822540150373733,-0.0016835902956928957,3.117463004723212e-6,365.25647538621826,3624.402057769958,0.017800015475078222,0.00109017743478917,3.7787461046157713e-7,697.8831923277271,324.96284592211333,-0.049368650686847114,-0.03897701726374949,0.0008635821960718626,4287.519646279974,4746.802317685919,0.017498097624364602,-0.044419045086314356,-4.478236941963446
2.465989051019245e-6,224.70078890336083,3503.765308455294,0.018658369085228832,-0.0019405258779194474,3.1998156212721386e-6,365.25649287205044,3624.4018982085463,0.027148080551659917,0.0005508387505819105,6.832114685028978e-7,702.1182640311855,259.88788865862733,0.006061927370270954,-0.011992209852290815,0.0006845099622502617,4296.697073386258,4723.570399192438,-0.001798247527316867,-0.0607467432390556,-6.10963033608829
2.5295910013072546e-6,224.7007895478766,3503.7653000724645,0.023215404677439544,-0.0017852624893934033,3.2369693565631222e-6,365.25649983608054,3624.401886901724,0.030759325174092134,0.0005273081673655638,1.109972385169857e-6,706.37903607036,203.71278809918115,0.024982610497467236,-0.003255334074958076,0.0006313801660470408,4297.132753658615,4703.385591966356,-0.011446918239484863,-0.07162130459610243,-5.576622424045948
2.5234938944314787e-6,224.70078951652212,3503.7652987440165,0.021524884968327544,-0.001863172413981888,3.23268843551859e-6,365.2564983740781,3624.401963400494,0.029452330619732923,0.0004995529227054435,1.4215821907690014e-6,710.6656644065436,864.6432947314208,0.030824018091900104,-0.0008620754632062734,0.0006544800520614078,4294.812017889581,4704.17416064801,-0.006596116219010553,-0.07060089095329394,-4.8799467082963135
2.51861777782956e-6,224.7007894432335,3503.7652952270796,0.0194161133519365,-0.0008445438989291484,3.218899546848268e-6,365.2564988730989,3624.401951216652,0.027817448021992104,0.0013645353524626201,1.50468487064518e-6,714.978305947471,813.6234437571698,0.037027553037667006,0.0036293295729328324,0.0006856814077984721,4294.023108806881,4700.848519786921,0.0009454540289924393,-0.06799384556475667,-4.044411228574288
2.5017400750367997e-6,224.70078920701434,3503.7652936664444,0.017553212838945776,-0.00023812997725601866,3.202123151691711e-6,365.2565361168611,3624.4013173169947,0.02627716999692929,0.0019468310065879552,1.738980601521395e-6,719.3171185530665,770.0366146311395,0.04385673716202945,0.00714373881399464,0.0007110498936326157,4293.074690853875,4697.624342310189,0.0072631464391402735,-0.06694144218548688,-2.7936225864063036
2.4883309535588384e-6,224.7007888824316,3503.7652935174556,0.01571140443176086,0.0010075464115034815,3.181756449295112e-6,365.2567033881051,3624.3989313629127,0.02470151358826037,0.0030843177988266234,2.1531956164328416e-6,723.682261041219,732.0594833530147,0.052036766725494066,0.0112384420390683,0.0007309940160900176,4289.495545225892,4688.8546704766695,0.013111199238319028,-0.0674978210160053,-1.661980439669883
2.5000607601805404e-6,224.70078774393934,3503.765310373402,0.022133735944494113,0.004509381202408156,3.1668061730949314e-6,365.2504913327308,3624.4995323655717,0.029272912016069432,0.005596062047557281,2.2499507249155003e-6,728.0738931935974,191.02021847897228,0.10754918184504592,0.014449935034475562,0.0006249173052902007,4239.313455509348,4674.027882353602,0.009085874895373117,-0.07806608327064525,-2.068630032735321
2.49185788059184e-6,224.70078678008866,3503.765338363847,0.011405755276636476,-0.0022538117816263982,3.107682588106345e-6,365.26560779295033,3624.3467103011594,0.02133975899041215,0.00017147550751826104,2.151038243917941e-6,732.492175761496,862.8624388529089,0.10058983167613121,0.007271740433896882,0.0007784790597234439,4319.719407287383,4706.319936749956,0.013050606389915106,-0.060181464367341134,-3.484022422941391
2.5345519961389983e-6,224.70078778900063,3503.765325993701,0.017669808690636515,-0.0015427031463470875,3.198655218708689e-6,365.2568164065104,3624.3981307791096,0.02653810305003912,0.0006335531294044604,1.2463064509120706e-6,736.9372704717229,304.12898349275207,0.08369819959608965,0.006793252350394523,0.000696590605833054,4311.378628439651,4695.1256312628,0.0020600862040141337,-0.06600075098946341,-5.403131769807103
2.496149408157577e-6,224.70078834604357,3503.765314856026,0.015601852836586268,-0.001993897947938764,3.178788324775495e-6,365.25649504575284,3624.401288270693,0.024857225650021277,0.0004613474955622481,9.257729595677284e-7,741.409340032517,260.7874415280076,0.09754639809301327,0.005565150373306004,0.0007187742723689982,4296.514406770662,4709.490812750342,0.005063865053168383,-0.06357823575029321,-5.555007861191944
2.460811696732959e-6,224.7007888173265,3503.7653054879347,0.013407350338790381,-0.002770083302442681,3.1619728158624537e-6,365.2564246739466,3624.4023195963914,0.023068406305747614,1.3674913813576697e-5,7.44454923239572e-7,745.9085481395056,214.87687184852462,0.10842184114780955,0.0014048948112825293,0.000745029725401174,4281.269455708498,4727.189988192122,0.007623968248170631,-0.06035401528460057,-5.962419038454839
2.4415168595542608e-6,224.70078921386047,3503.7652978575684,0.011913529191814978,-0.003460923409773943,3.150215093771112e-6,365.25640406202416,3624.4027727365756,0.02183404673274804,-0.00042795965471641764,6.104883211855158e-7,750.4350594816929,163.43727069973875,0.11909998807000055,-0.007147764311702195,0.0007648028434192297,4272.6437256948475,4736.822265188855,0.00871571690821272,-0.05905252978963869,-6.402955091854822
2.437065773692329e-6,224.70078949203773,3503.765293213183,0.010456414453796007,-0.0038902677640300976,3.1394602315353486e-6,365.2564239274241,3624.402627783675,0.020665210787755364,-0.0007255111000152196,5.697539376465524e-7,754.9890397474929,113.84104735884009,0.12050772773955187,-0.013212168183885613,0.000784946641330374,4269.57997406753,4739.769237843665,0.00943259638924587,-0.05864661720550284,-6.816129176537581
2.41834153819878e-6,224.7007894913567,3503.7652939664545,0.007930945386027918,-0.0035586679729210247,3.1248301239979054e-6,365.25645748481566,3624.4022622292573,0.018660679786253194,-0.0004324736530027673,5.813540162642304e-7,759.5706556307915,833.5959739228938,0.10818728815598823,-0.01266492653106202,0.0008237094528950847,4270.046680727668,4743.19975871251,0.012054764705083331,-0.055019789922858046,-7.383427944639689
2.3790777090154373e-6,224.70078905691892,3503.7653025190816,0.005695405707201272,-0.0017372593380189044,3.1134719147591883e-6,365.25647523821755,3624.4020658510185,0.016863946813764023,0.0010432655234082554,6.289539008529059e-7,764.1800748370491,809.2653543784797,0.09533303422676412,-0.0050741324920154825,0.0008686485124757762,4283.00017619328,4737.475763518142,0.01605851190941172,-0.048426222975633176,-7.404147029509356
2.3560373349856114e-6,224.70078856118292,3503.7653125661313,0.005105505306646731,0.0006191755135630192,3.1102899798978967e-6,365.25647193465693,3624.402094543106,0.016398002644468567,0.0029219088509311966,7.49167901583482e-7,768.817466089437,12.723289350228262,0.09470849274389644,0.000780783490900553,0.000896149238005215,4308.684260870409,4716.685617913461,0.01812801787186577,-0.043621831275005275,-6.246115714809719
2.365875999037954e-6,224.7007882677516,3503.7653196694514,0.005450417895839309,0.0028383095440067192,3.1108717706489293e-6,365.2564639418687,3624.4021663141825,0.016755507763408332,0.004666039233898165,8.990931704604181e-7,773.482999135017,747.2255683579804,0.09816912391070975,0.003244950440100345,0.0009148990451721622,4338.121566467334,4686.927034764295,0.018026472379680334,-0.04128593318276997,-4.3038594929931095
