mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
3.821969638068743e-6,224.700776478176,3503.7688352054283,-0.08722428690511591,-0.06343351714832879,2.5388501428071654e-6,365.2564563479392,3624.4076592590313,-0.05280147681570637,-0.04996843815674767,3.034714552960397e-5,1826.2500000000005,602.3574880618321,0.1367239829438881,-0.1370359125751405,-180.39093623773107
3.580403791702417e-6,224.70077642343452,3503.768838055665,-0.10943293902148714,-0.06328317267912986,2.435350885173159e-6,365.2564567326842,3624.407649979028,-0.070497215295053,-0.04971717701811039,3.641926018937039e-5,1836.3599953010134,507.230094004353,0.14720850289675042,-0.1227561437039705,-180.29658847522163
3.451526316987166e-6,224.7007763933698,3503.768838294031,-0.12027753391228449,-0.059615708060485564,2.386879194422808e-6,365.25645722794405,3624.4076403257654,-0.07917449874129441,-0.04678642776973646,4.280774157281228e-5,1846.5259588456875,446.86730942407564,0.1431248008959377,-0.11744120760580289,-180.1573465062116
3.422821310406875e-6,224.7007764052718,3503.768836408395,-0.12015454369565728,-0.05711602726061425,2.3832770207137885e-6,365.25645743825424,3624.407634262635,-0.0791014133678809,-0.04481255021382058,4.255152460427391e-5,1856.7482004703984,404.75299419519206,0.13005289647074017,-0.12479309062551397,-180.12409062145392
3.402695394247317e-6,224.70077644053842,3503.768834235966,-0.12029942646610396,-0.056375069099417786,2.3765730917434588e-6,365.25645744197107,3624.407631462184,-0.07918146543106956,-0.04421902815488745,4.179605409522e-5,1867.027031726754,366.2867245483066,0.11173064105722491,-0.1315128213330922,-180.17851406982336
3.3752541931460495e-6,224.70077648823002,3503.768832146737,-0.12294970179060123,-0.05662825224364852,2.357583497625026e-6,365.25645722596323,3624.407632060687,-0.08119601649467743,-0.044397977890439116,4.139280865532835e-5,1877.3627658910916,330.04648771739704,0.09006474265815372,-0.13478367886657755,-180.28823230019057
3.873956807337986e-6,224.70077700743167,3503.7688157010894,-0.04669211238885198,-0.043002532104824895,2.8487105593816788e-6,365.2564560336931,3624.4076367883526,-0.021186904831192052,-0.03342982219137391,4.627291139252085e-5,1887.755717974024,944.2867458719073,0.07798183292408963,0.06659376647721522,-180.37776486233537
3.8355565085978676e-6,224.70077702901847,3503.768814933933,-0.050295255001623504,-0.04418068267046322,2.826814741396664e-6,365.25645560907896,3624.407637881025,-0.024002606609863048,-0.034319452858540454,4.054121995855445e-5,1898.206204730042,908.6184593026829,0.03793065337667198,0.08826259158833158,-180.24832333713917
3.7999659808431877e-6,224.70077705135927,3503.7688142011843,-0.05440756029637043,-0.04547433711464821,2.802328794637178e-6,365.2564554892717,3624.407635555817,-0.027248823509345148,-0.03530721033014957,3.6313103296206816e-5,1908.7145446671666,878.6337303162192,-0.004473625844054632,0.11166341494695732,-180.00462714830363
3.7562029829008815e-6,224.70077707085065,3503.768813568295,-0.059983711332436046,-0.04658598554130176,2.772102490959736e-6,365.2564556610457,3624.4076300990378,-0.03167148489204993,-0.03615331601310323,3.381124240173732e-5,1919.2810580566586,860.2829517001878,-0.03557751638482354,0.1382737347497456,-179.69733492773022
3.688886771398287e-6,224.70077707460814,3503.7688133726856,-0.06783810748353572,-0.047424036443653624,2.7337878125214354e-6,365.25645600507954,3624.4076233716164,-0.0379088284770312,-0.03677975311699343,3.2781679712930495e-5,1929.9060669427781,848.2211029870643,-0.04868681771221586,0.1652865621866542,-179.3840438981076
3.937584175094277e-6,224.70077707316898,3503.7688097927426,0.0018037874070129857,-0.032841159390527105,3.1642238949030233e-6,365.2564560165437,3624.40762257139,0.016733204412012384,-0.02539558165953154,7.143994374442993e-5,1940.5898951526003,428.85082109098727,0.0283711965977823,-0.0249151806538646,-178.74491120980218
3.883868458784278e-6,224.7007769805841,3503.768810285558,0.018540357558766964,-0.030186771582214247,3.313888802331059e-6,365.25645596504336,3624.407623019311,0.02970605279695529,-0.0232690923727139,8.43520655414609e-5,1951.3328683058828,362.524764841097,0.047287022710358166,-0.02153415492878121,-177.86223922591677
3.819916439391551e-6,224.7007768641613,3503.768812142521,0.02840268023889321,-0.02959751260236222,3.4125888541938958e-6,365.25645541292437,3624.40763261293,0.03734995360789425,-0.022736665979466705,9.176732303437536e-5,1962.135313824998,306.04532010097506,0.05235594551351364,-0.018417110074824064,-176.9975427695145
3.7837754641971143e-6,224.70077675285714,3503.7688147092617,0.03247109125349908,-0.03018774990160004,3.4561847648840964e-6,365.25645448873126,3624.4076490436414,0.04053654701942052,-0.023129250752977996,9.570149199497564e-5,1972.9975609449007,254.79008810654682,0.05144957917639855,-0.016422817853413055,-176.26191430963138
