mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
3.581371041972674e-6,224.7007814807993,3503.7694301284823,-0.08423249656827456,-0.059403389662865465,2.583008436113885e-6,365.2564776847526,3624.4084508962596,-0.050864263493489006,-0.0454913545091471,2.4420759607742023e-5,3652.5000000000014,350.13424471899583,-2.601613258938463,-1.1270298047408913,-293.76944801115434
3.5819416211405622e-6,224.70078148472894,3503.7694295388333,-0.08425937860687595,-0.05938492759901319,2.58285564943089e-6,365.2564776427706,3624.4084499800747,-0.05088814845984483,-0.045484020938772324,2.2542216393716197e-5,3655.226876340362,232.70110856920857,-2.839799041211564,-1.2234506878457114,-293.59070855175827
3.582192608895783e-6,224.70078148803162,3503.7694289637498,-0.08432289595448844,-0.059365499869431376,2.5825289225059048e-6,365.2564775982287,3624.4084490940572,-0.05094112152768486,-0.045475705036369156,2.0703528267523426e-5,3657.9557885067534,96.98677229586116,-3.1147887453120626,-1.3353579142526655,-293.4120811975013
3.5826027247626138e-6,224.70078149099965,3503.769428391942,-0.08437226308977544,-0.05935090272102037,2.582255212335753e-6,365.2564775521902,3624.4084482244507,-0.050982967180215936,-0.04547137439589492,1.8840095403727743e-5,3660.6867380190774,3594.0187547578626,-3.447901504324848,-1.4710545326227056,-293.23362048958757
3.5827201275928243e-6,224.7007814932704,3503.7694278379477,-0.08445437563954135,-0.05933461382914046,2.5818273750803816e-6,365.25647750415624,3624.4084473814037,-0.051050790898818206,-0.0454654742398587,1.7054785062517107e-5,3663.419726398373,-257.6077346169411,-3.8356208160491683,-1.6298660281403983,-293.05538135988394
3.5827785536934297e-6,224.7007814952814,3503.7694272871613,-0.08454548111030896,-0.0593174480946263,2.5813525982991692e-6,365.25647745413494,3624.4084465618853,-0.051125779915322335,-0.0454589309522252,1.5250850901848149e-5,3666.1547551668127,-494.9988890088373,-4.319122384696482,-1.8282080714195905,-292.87741815765514
3.5826579581299156e-6,224.70078149676365,3503.7694267496404,-0.08465732812470621,-0.059302884104505266,2.5807765598827347e-6,365.25647740295494,3624.4084457585045,-0.051217201632996374,-0.04545432405916042,1.3511489233199339e-5,3668.891825847707,-783.9912285872208,-4.907982802725807,-2.07039360074715,-292.69978509632466
3.582457101316319e-6,224.70078149780684,3503.7694262209225,-0.08478012235388359,-0.05928781378036892,2.5801426046941906e-6,365.2564773495506,3624.4084449839847,-0.05131735659686059,-0.045449336604861584,1.1781429126056319e-5,3671.630939965502,-1155.3525624590654,-5.66591851282402,-2.382658406660855,-292.52253612349597
3.582093740231324e-6,224.70078149841973,3503.7694257021685,-0.08492198628608853,-0.05927183862428809,2.579417618165676e-6,365.25647729431375,3624.4084442343305,-0.05143263770341432,-0.04544358139955134,1.008185798887466e-5,3674.37209904578,-1643.8534016089254,-6.663734920520588,-2.7945645079714856,-292.34572473174535
3.5815988443366356e-6,224.7007814984536,3503.769425195329,-0.08507923681738064,-0.059257982574927356,2.578617157381953e-6,365.256477236584,3624.4084435154336,-0.05156030277277894,-0.0454395029923005,8.383815329517874e-6,3677.1153046152717,-2329.4257747655,-8.06393461134401,-3.374160835054487,-292.1694039656449
3.5809017275486803e-6,224.70078149798093,3503.7694247056597,-0.08525938140568322,-0.059242380485552755,2.577707280050622e-6,365.2564771783611,3624.4084428134465,-0.051705888996294566,-0.0454339141982784,6.824229646733681e-6,3679.860558201838,-3260.6040666859835,-9.966354986527673,-4.16255334484592,-291.99362737216495
3.5801224430627525e-6,224.7007814969916,3503.7694242305774,-0.08544915250072954,-0.05922566327883448,2.5767503218093177e-6,365.2564771188461,3624.408442136424,-0.05185904265509266,-0.04542744213154225,5.348916738320147e-6,3682.6078613344835,-4642.067846349672,-12.78848628707757,-5.333864567141952,-291.8184499985761
3.5791339360244797e-6,224.70078149529022,3503.769423779416,-0.08566126860912694,-0.059206335094389544,2.5756889828841955e-6,365.25647705866095,3624.408441482403,-0.052029743507447206,-0.0454187653889353,4.046491784829798e-6,3685.357215543354,-6704.771362302502,-16.99542591380013,-7.084100693671527,-291.6439356661673
3.577917253142618e-6,224.70078149291294,3503.769423356036,-0.08589728729155807,-0.05918020952408841,2.5745196397722673e-6,365.25647699908194,3624.4084408433846,-0.05221896208299611,-0.045404530665094575,3.0072191383383024e-6,3688.108622359738,-9645.814629190712,-22.980926242700193,-9.579887558497571,-291.4701740626203
3.576501007071121e-6,224.70078148937702,3503.769422977233,-0.08615115438437207,-0.05914471686019636,2.573274160222576e-6,365.25647694034626,3624.4084402275134,-0.052421920916165515,-0.04538262815253593,2.3537123073172213e-6,3690.8620833160676,-12867.410902181795,-29.482817626534935,-12.310657486724727,-291.29732126540256
3.5750246078088153e-6,224.70078148553284,3503.7694226040403,-0.08641301104390134,-0.05911372943904086,2.5719885691497555e-6,365.2564768794156,3624.408439641053,-0.052631366696042146,-0.04536439946992429,1.6604913015150637e-6,3693.6175999459183,-19044.16071300176,-41.9639540248133,-17.550826686935117,-291.1253761364179
3.5734606563284474e-6,224.70078148127382,3503.769422247701,-0.086685042458456,-0.059082244723368545,2.570653781412606e-6,365.2564768182639,3624.4084390745693,-0.05284863752173,-0.045345792833135896,1.1008789433956356e-6,3696.3751737840107,-29738.8799640186,-63.541950473109246,-26.62305841613271,-290.95447185774935
3.5718401244471636e-6,224.70078147609695,3503.769421925075,-0.08696027669382006,-0.05904266090311208,2.569309777467728e-6,365.25647675704795,3624.408438536765,-0.053068220081338706,-0.04532071020465321,8.01694117727921e-7,3699.1348063662113,-41736.6237344657,-87.54685271579297,-36.78829423603771,-290.7848201752995
3.5701704608016016e-6,224.70078147026783,3503.769421633036,-0.08723847179499745,-0.05899793373642157,2.567959762403182e-6,365.2564766969758,3624.408438017194,-0.053289685218976354,-0.04529148593275357,7.915642614946307e-7,3701.8964992295337,-42608.569510404384,-88.92375660910061,-37.496514176437294,-290.61665271800035
3.568544730486413e-6,224.70078146436785,3503.7694213358927,-0.08751450860594881,-0.05895633413244451,2.5666144871696296e-6,365.25647663377,3624.4084375326706,-0.05350974666696134,-0.0452650075464737,6.276994010720096e-7,3704.660253912138,-54536.52007442037,-112.48218076476223,-47.57925610348235,-290.4496198014897
3.5669162844488134e-6,224.7007814583396,3503.769421040923,-0.08779270098243568,-0.058918244711336006,2.5652569071851206e-6,365.25647656877544,3624.408437075895,-0.05373158645980285,-0.04524149441007139,4.173418805628999e-7,3707.426071953334,-83386.4243093742,-169.7051198829903,-71.98625084094694,-290.2838177916762
3.5654075159982957e-6,224.700781451605,3503.7694207831723,-0.08805436964369893,-0.05886949240250229,2.563983913180606e-6,365.25647650643486,3624.408436632456,-0.05393962929060846,-0.04520952798989308,6.007125311270686e-7,3710.1939548935793,-57856.18566703513,-118.19917620818393,-50.310645177922645,-290.12004439213
3.563825746840374e-6,224.70078144480567,3503.7694205101416,-0.08832764349649547,-0.05883273646583177,2.5626487435748657e-6,365.25647643809197,3624.4084362400554,-0.05415771459677125,-0.04518735210232913,4.2515394902309377e-7,3712.963904274479,-82964.84765617175,-167.49858914601032,-71.51358522409255,-289.9570682432448
3.5624154268734746e-6,224.70078143761864,3503.769420258568,-0.08858089437449634,-0.058790567554759525,2.561408958862214e-6,365.25647637107306,3624.4084358637897,-0.054359495965696496,-0.045161024841909994,4.6817353419674966e-7,3715.735921638799,-75706.65564104557,-152.50558480093193,-65.31926654986586,-289.7959954712892
3.5609363195362043e-6,224.70078143029076,3503.7694200065716,-0.08884347166282987,-0.05875136969529197,2.560124207884272e-6,365.25647630115935,3624.408435523484,-0.05456892066388426,-0.0451372283841849,4.0148894537336187e-7,3718.510008530447,-89124.24484243749,-178.32283198424483,-76.60212570482068,-289.6361763867697
